New.Name,Date,Letter_ch4,Letter_co2
S1,7/7/22,A,A
S1,7/14/22,B,B
S1,7/25/22,B,B
S2,7/7/22,A,A
S2,7/14/22,B,B
S2,7/25/22,B,B
S3,7/7/22,A,A
S3,7/14/22,B,B
S3,7/25/22,C,C
S4,6/29/22,A,AB
S4,7/15/22,A,A
S4,7/22/22,A,B
S4,10/16/22,A,C
S5,6/30/22,AB,A
S5,7/11/22,A,A
S5,7/19/22,A,A
S5,10/15/22,B,B
S6,7/11/22,AB,
S6,7/19/22,A,
S6,7/22/22,A,
S6,10/15/22,B,
S7,6/30/22,A,A
S7,7/11/22,A,A
S7,7/19/22,A,A
S7,10/15/22,B,A
S8,6/28/22,A,A
S8,7/19/22,B,B
S8,7/27/22,A,A
S10,7/5/22,A,
S10,7/8/22,B,
S10,7/18/22,B,
S10,10/16/22,AB,
S11,7/5/22,A,A
S11,7/8/22,A,A
S11,7/18/22,A,A
S11,10/16/22,A,A
S12,7/5/22,A,AB
S12,7/8/22,A,A
S12,7/18/22,A,AB
S12,10/16/22,B,B
Wetland,7/6/22,A,A
Wetland,7/22/22,A,A
Wetland,7/27/22,A,A
Wetland,10/16/22,A,A
