"","Site","Location","Date","CH4_umol.L","CH4_sat","Watertemp_c","AirPress_kpa","KH_CH4_mol.L.atm","air_pressure_atm","water_pressure_atm","CH4_air_atm","CH4_sat_umol.L","CH4_pSat","CH4_mol.L","pCH4_w_atm","pCH4_w_uatm","pCH4_ppm","New.Name"
"1","Wetland11","3",2022-07-19,7.705967088,319423.807,6.166,62.74875,0.002036517514076,0.619434846989141,0.620402687989141,0.00000118372140955084,0.00241066938233702,319660.885248788,0.000007705967088,0.00378389433664964,3783.89433664964,6099.09403989538,"S6"
"2","Wetland06","2",2022-07-19,0.212081711,8704.895489,5.5728,62.60229,0.00206149743032261,0.617989042448174,0.618956883448174,0.00000118095852044719,0.00243454295521946,8711.35629565763,0.000000212081711,0.000102877504420081,102.877504420081,166.211099950866,"S5"
"3","Wetland03","1",2022-07-07,0.060451631,2451.727637,4.2688,61.66913,0.00211787994370777,0.608777196446199,0.609745037446199,0.00000116335495909279,0.0024638461352756,2453.54732726595,0.000000060451631,0.0000285434645054372,28.5434645054372,46.8121308948836,"S3"
"4","Wetland06","3",2022-07-19,0.436107263,17900.026,5.5728,62.60229,0.00206149743032261,0.617989042448174,0.618956883448174,0.00000118095852044719,0.00243454295521946,17913.3114930267,0.000000436107263,0.000211548778371144,211.548778371144,341.782738068309,"S5"
"5","Wetland03","2",2022-07-14,0.079181544,3318.42949,6.0436,61.90788,0.0020416382657433,0.611134057255676,0.612101898255676,0.00000116785884939388,0.00238434531590949,3320.89246770017,0.000000079181544,0.0000387833365628912,38.7833365628913,63.3609153531678,"S3"
"6","Wetland03","3",2022-07-07,0.045727262,1854.553629,4.2688,61.66913,0.00211787994370777,0.608777196446199,0.609745037446199,0.00000116335495909279,0.0024638461352756,1855.93009828453,0.000000045727262,0.0000215910548356888,21.5910548356888,35.4099722174351,"S3"
"7","Wetland11","1",2022-07-22,0.885825998,36911.71241,6.37,62.68232,0.0020280213654239,0.618779072063179,0.619746913063179,0.00000118246824334057,0.00239807086142995,36939.1085245825,0.000000885825998,0.000436793227676298,436.793227676298,704.792905732102,"S6"
"8","Wetland11","3",2022-07-22,0.465653314,19403.42829,6.37,62.68232,0.0020280213654239,0.618779072063179,0.619746913063179,0.00000118246824334057,0.00239807086142995,19417.8296183598,0.000000465653314,0.000229609668783084,229.609668783084,370.48941098909,"S6"
"9","Wetland08","1",2022-07-08,0.924349764,38369.41738,7.079,63.84128,0.00199886242333042,0.63021994076999,0.63118778176999,0.00000120433140021323,0.00240729278112313,38397.8953971997,0.000000924349764,0.000462437911289505,462.437911289505,732.64712126196,"S12"
"10","Wetland11","2",2022-07-22,0.208838751,8702.155893,6.37,62.68232,0.0020280213654239,0.618779072063179,0.619746913063179,0.00000118246824334057,0.00239807086142995,8708.61467686034,0.000000208838751,0.00010297660298877,102.97660298877,166.159122083876,"S6"
"11","Wetland09","1",2022-07-18,11.4182688,479083.3473,7.582,63.80909,0.00197851795640497,0.629902171767029,0.630870012767029,0.00000120372415318164,0.00238158985162824,479438.925732472,0.0000114182688,0.00577112214879634,5771.12214879634,9147.87837748683,"S10"
"12","Wetland08","3",2022-07-08,2.017299446,83737.35509,7.079,63.84128,0.00199886242333042,0.63021994076999,0.63118778176999,0.00000120433140021323,0.00240729278112313,83799.5054784661,0.000002017299446,0.00100922375770057,1009.22375770057,1598.92790521148,"S12"
"13","Wetland11","3",2022-07-11,0.352078471,15264.49508,8.4016,62.78498,0.00194596321088463,0.619792497532083,0.620760338532083,0.00000118440486900888,0.00230480830188391,15275.82448884,0.000000352078471,0.000180927609027072,180.927609027072,291.461289964036,"S6"
"14","Wetland08","2",2022-07-08,0.831286516,34506.39632,7.079,63.84128,0.00199886242333042,0.63021994076999,0.63118778176999,0.00000120433140021323,0.00240729278112313,34532.0071791251,0.000000831286516,0.000415879805582089,415.879805582089,658.884435969071,"S12"
"15","Wetland03","1",2022-07-14,0.081403305,3411.541572,6.0436,61.90788,0.0020416382657433,0.611134057255676,0.612101898255676,0.00000116785884939388,0.00238434531590949,3414.07364347934,0.000000081403305,0.0000398715611701975,39.8715611701975,65.138764123785,"S3"
"16","Wetland01","3",2022-07-07,0.036452283,1502.623135,5.037,61.64864,0.00208441661896582,0.608574925962488,0.609542766962488,0.00000116296842626654,0.00242411071504249,1503.73837192338,0.000000036452283,0.0000174880024791233,17.4880024791233,28.6903617383086,"S1"
"17","Wetland11","1",2022-07-22,0.768225129,32011.37145,6.37,62.68232,0.0020280213654239,0.618779072063179,0.619746913063179,0.00000118246824334057,0.00239807086142995,32035.1304607368,0.000000768225129,0.000378805244410935,378.805244410935,611.225705891203,"S6"
