Site,pond_size,Watershed_area,WS_area_minus_pond,percentpond,DTW index equal less than 1 shape_area,percent_DTW
Wetland01,5253.347544,16711.08988,11457.74234,31.43629519,9049.051566,22.71368324
Wetland02,3520.444065,20152.19804,16631.75398,17.46928081,8528.426879,24.8508019
Wetland03,811.562771,25188.30358,24376.74081,3.221982649,12992.33956,48.35886128
Wetland04,463.735959,4279.138416,3815.402457,10.83713388,2151.159445,39.43372057
Wetland05,612.724703,19046.3463,18433.6216,3.217019649,3890.735375,17.21070603
Wetland06,237.41987,2714.562293,2477.142423,8.746156632,645.6923551,15.04008533
Wetland07,515.670218,6097.937076,5582.266858,8.456469976,681.2901045,2.715998614
Wetland08,198.014989,109234.2625,109036.2475,0.181275531,13169.39567,11.8748279
Wetland09,25.282641,8511.107484,8485.824843,0.297054655,831.7900314,9.475939435
Wetland10,56.853717,1689.591378,1632.737661,3.364938868,221.3451109,9.735572516
Wetland11,31.007179,23355.60984,23324.60266,0.132761162,1321.419828,5.525065104
Wetland12,4968.05439,816718.1359,811750.0815,0.608294854,152907.5646,18.11390046
