Reference,Site Name,Location,latitude,longitude,Study Years,area (ha),ch4 (umol/L),co2 (umol/L),temp (C) ,temp (estimate),atm. co2,atm. ch4
Barber et al. (1988),Mrazek Pond,Florida,27.7731,-82.64,1984-1985,0.5,2.21,na,25,,345.302,1652.373
Barber et al. (1988),Arrow Lake,Florida,27.7731,-82.64,1984-1985,4.4,1.34,na,27,,345.302,1652.373
Barber et al. (1988),Crescent Lake,Florida,27.7731,-82.64,1984-1985,8,3.11,na,28,,345.302,1652.373
Barber et al. (1988),Lake Maggiore,Florida,27.7731,-82.64,1984-1985,154,2.35,na,28,,345.302,1652.373
Barber et al. (1988),Mirror Lake,Florida,27.7731,-82.64,1984-1985,4.4,1.29,na,26,,345.302,1652.373
Bartlett et al. (1992),Nunavakpak,Alaska,60.800159,-162.627975,1988,13726.9,0.21,na,12.5,,351.886,1697.160
Bartlett et al. (1992),Kayigyalik,Alaska,61.037789,-162.53862,1988,13985.9,0.05,na,12.5,,351.886,1697.160
Bartlett et al. (1992),Nunavakanukasklak Lake,Alaska,60.943962,-162.352844,1988,7510.97,0.09,na,12.5,,351.886,1697.160
Bastviken et al (2002),Illersjön,Sweden,58.575735,14.991624,1999-2000,3.9,0.55,na,na,12.63,369.086,1772.059
Bastviken et al (2002),Ma_rn,Sweden,58.58247,15.861912,1999-2000,4.5,0.10,na,na,12.63,369.086,1772.059
Bastviken et al (2002),Lillsjön,Sweden,58.659082,16.143506,1999-2000,2,0.10,na,na,12.63,369.086,1772.059
Bastviken et al. (2004),Brown,WI + MN,46.21769,-89.475043,2001,32.9,0.82,na,na,20,371.298,1774.578
Bastviken et al. (2004),Crampton,WI + MN,46.209652,-89.473671,2001,25.8,0.41,na,na,20,371.298,1774.578
Bastviken et al. (2004),East Long,WI + MN,46.2166,-89.533,2001,2.3,0.66,na,na,20,371.298,1774.578
Bastviken et al. (2004),Hummingbird,WI + MN,46.2166,-89.533,2001,0.8,0.68,na,na,20,371.298,1774.578
Bastviken et al. (2004),Morris,WI + MN,46.2166,-89.533,2001,5.9,1.22,na,na,20,371.298,1774.578
Bastviken et al. (2004),North Gate,WI + MN,46.2166,-89.533,2001,0.3,0.34,na,na,20,371.298,1774.578
Bastviken et al. (2004),Paul,WI + MN,46.251541,-89.503676,2001,1.7,2.15,na,na,20,371.298,1774.578
Bastviken et al. (2004),Peter,WI + MN,46.253025,-89.503859,2001,2.7,1.31,na,na,20,371.298,1774.578
Bastviken et al. (2004),Roach,WI + MN,46.227719,-89.549608,2001,45,0.27,na,na,20,371.298,1774.578
Bastviken et al. (2004),Tuesday,WI + MN,46.251296,-89.497679,2001,0.9,2.32,na,na,20,371.298,1774.578
Bastviken et al. (2004),Ward,WI + MN,46.25493,-89.517476,2001,2.7,1.22,na,na,20,371.298,1774.578
Bastviken et al. (2004),Bisen,Sweden,59.959037,15.504268,2000,43.3,0.11,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),L Sa_ngaren,Sweden,59.899823,15.392516,2000,24,0.18,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Ljustjärn,Sweden,59.923674,15.452679,2000,13,0.47,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Lövtjärn,Sweden,59.912857,15.406412,2000,8.5,0.61,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Ra_gåstjärnt,Sweden,59.914353,15.464101,2000,4,1.10,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Skottjärn,Sweden,59.941796,15.397125,2000,2.8,1.84,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Svarttjärn,Sweden,59.890571,15.257622,2000,0.7,1.89,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Fiolen,Sweden,57.082212,14.532362,2000,150,0.08,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Gransjön,Sweden,57.139606,14.712336,2000,4.5,0.48,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Grunnen,Sweden,57.155237,14.413261,2000,48,0.46,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Gyslättasjön,Sweden,57.110059,14.479155,2000,26.3,0.38,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Klintsjön,Sweden,57.127291,14.700238,2000,10,0.31,na,na,12.63,369.668,1770.684
Bastviken et al. (2004),Skärshultssjön,Sweden,57.16335,14.509792,2000,29.2,0.17,na,na,12.63,369.668,1770.684
Casper et al. (2000),Priest Pot (hypereutrophic),United Kingdom,54.372256,-2.990409,1997,1,1.30,132.00,16.9,,363.780,1764.474
Fallon et al. (1980),Lake Mendota,Wisconsin,43.114611,-89.417807,1977,3937,0.50,na,na,18.00,334.014,1458.100
Hamilton et al. (1994),Kinosheo Bog Pond 1,Canada,51.55,-81.81666,1990,2.139,0.46,33.21,15.99,,354.334,1724.242
Hamilton et al. (1994),Kinosheo Bog Pond 2,Canada,51.55,-81.81666,1990,0.0032,7.00,97.83,13.03,,354.334,1724.242
