sample ID,Date,site,time,notes,notes
1,7/27/22,wetland 12,,,
2,7/25/22,wetland 2,11:30,,
3,,Gavi trib,10:06,preinjection,15m
4,7/1/22,Colm,9:33,,btw stations 5&6
5,7/25/22,wetland 01,10:00,,
6,7/26/22,colm,10:30,,
7,7/22/22,wetland 5,12:45,,
8,7/28/22,wetland 8,,,
9,7/22/22,wetland 11,12:15,,
10,7/22/22,wetland 6,12:30,,
11,7/21/22,gavi-trib,12:00,,
12,7/26/22,colm,,,
13,7/28/22,wetland 9,10:21,,
14,7/28/22,wetland 10,11:10,,
15,7/25/22,wetland 3,12:38,,
16,7/6/22,gavi,preink,,
17,7/1/22,gavi,13:20,,25m
18,7/21/22,Gavi trib,9:45,,
19,7/22/22,wetland 4,11:00,,
20,,gavi trib,10:00,,15m
21,,gavi trib,13:56,,
22,7/27/22,wetland 5,,,
