"Plot Title: DO_3"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °F (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","Coupler Detached (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
1,07/12/19 05:00:00 PM,6.48,54.36,,,,
2,07/12/19 05:15:00 PM,6.50,54.14,,,,
3,07/12/19 05:30:00 PM,6.52,53.85,,,,
4,07/12/19 05:45:00 PM,6.55,53.56,,,,
5,07/12/19 06:00:00 PM,6.58,53.28,,,,
6,07/12/19 06:15:00 PM,6.60,52.92,,,,
7,07/12/19 06:30:00 PM,6.64,52.52,,,,
8,07/12/19 06:45:00 PM,6.67,52.12,,,,
9,07/12/19 07:00:00 PM,6.71,51.76,,,,
10,07/12/19 07:15:00 PM,6.74,51.37,,,,
11,07/12/19 07:30:00 PM,6.77,51.04,,,,
12,07/12/19 07:45:00 PM,6.81,50.76,,,,
13,07/12/19 08:00:00 PM,6.84,50.43,,,,
14,07/12/19 08:15:00 PM,6.86,50.18,,,,
15,07/12/19 08:30:00 PM,6.88,49.93,,,,
16,07/12/19 08:45:00 PM,6.91,49.71,,,,
17,07/12/19 09:00:00 PM,6.92,49.53,,,,
18,07/12/19 09:15:00 PM,6.94,49.32,,,,
19,07/12/19 09:30:00 PM,6.96,49.14,,,,
20,07/12/19 09:45:00 PM,6.97,48.92,,,,
21,07/12/19 10:00:00 PM,7.00,48.74,,,,
22,07/12/19 10:15:00 PM,7.02,48.56,,,,
23,07/12/19 10:30:00 PM,7.03,48.42,,,,
24,07/12/19 10:45:00 PM,7.04,48.27,,,,
25,07/12/19 11:00:00 PM,7.06,48.13,,,,
26,07/12/19 11:15:00 PM,7.07,47.98,,,,
27,07/12/19 11:30:00 PM,7.08,47.88,,,,
28,07/12/19 11:45:00 PM,7.09,47.77,,,,
29,07/13/19 12:00:00 AM,7.10,47.66,,,,
30,07/13/19 12:15:00 AM,7.10,47.59,,,,
31,07/13/19 12:30:00 AM,7.12,47.48,,,,
32,07/13/19 12:45:00 AM,7.13,47.41,,,,
33,07/13/19 01:00:00 AM,7.14,47.30,,,,
34,07/13/19 01:15:00 AM,7.15,47.19,,,,
35,07/13/19 01:30:00 AM,7.16,47.08,,,,
36,07/13/19 01:45:00 AM,7.17,46.98,,,,
37,07/13/19 02:00:00 AM,7.18,46.90,,,,
38,07/13/19 02:15:00 AM,7.18,46.80,,,,
