"Plot Title: Injection_DO_x50m_2022-07-26"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21223042, SEN S/N: 21223042)","Temp, °C (LGR S/N: 21223042, SEN S/N: 21223042)","Coupler Attached (LGR S/N: 21223042)","Host Connected (LGR S/N: 21223042)","Stopped (LGR S/N: 21223042)","End Of File (LGR S/N: 21223042)"
1,07/26/22 12:40:00 PM,7.74,7.96,,,,
2,07/26/22 12:45:00 PM,7.86,7.54,,,,
3,07/26/22 12:50:00 PM,7.89,7.46,,,,
4,07/26/22 12:55:00 PM,7.88,7.48,,,,
5,07/26/22 01:00:00 PM,7.88,7.50,,,,
6,07/26/22 01:05:00 PM,7.89,7.52,,,,
7,07/26/22 01:10:00 PM,7.88,7.56,,,,
8,07/26/22 01:15:00 PM,7.88,7.56,,,,
9,07/26/22 01:20:00 PM,7.87,7.60,,,,
10,07/26/22 01:25:00 PM,7.85,7.64,,,,
11,07/26/22 01:30:00 PM,7.83,7.66,,,,
12,07/26/22 01:35:00 PM,7.83,7.62,,,,
13,07/26/22 01:40:00 PM,7.82,7.58,,,,
14,07/26/22 01:45:00 PM,7.83,7.56,,,,
15,07/26/22 01:50:00 PM,7.83,7.54,,,,
16,07/26/22 01:55:00 PM,7.84,7.56,,,,
17,07/26/22 02:00:00 PM,7.84,7.56,,,,
18,07/26/22 02:05:00 PM,7.84,7.56,,,,
19,07/26/22 02:10:00 PM,7.86,7.60,,,,
20,07/26/22 02:15:00 PM,7.85,7.64,,,,
21,07/26/22 02:20:00 PM,7.84,7.68,,,,
22,07/26/22 02:25:00 PM,7.83,7.70,,,,
23,07/26/22 02:30:00 PM,7.85,7.74,,,,
24,07/26/22 02:35:00 PM,7.84,7.78,,,,
25,07/26/22 02:40:00 PM,7.83,7.82,,,,
26,07/26/22 02:45:00 PM,7.83,7.84,,,,
27,07/26/22 02:50:00 PM,7.83,7.88,,,,
28,07/26/22 02:55:00 PM,7.82,7.94,,,,
29,07/26/22 03:00:00 PM,7.80,7.98,,,,
30,07/26/22 03:05:00 PM,7.80,8.00,,,,
31,07/26/22 03:10:00 PM,7.79,8.02,,,,
32,07/26/22 03:15:00 PM,7.77,8.04,,,,
33,07/26/22 03:20:00 PM,7.78,8.04,,,,
34,07/26/22 03:25:00 PM,7.76,8.06,,,,
35,07/26/22 03:30:00 PM,7.76,8.06,,,,
36,07/26/22 03:35:00 PM,7.75,8.04,,,,
37,07/26/22 03:40:00 PM,7.75,8.04,,,,
38,07/26/22 03:45:00 PM,7.74,8.04,,,,
39,07/26/22 03:50:00 PM,7.74,8.04,,,,
40,07/26/22 03:55:00 PM,7.74,8.02,,,,
41,07/26/22 04:00:00 PM,7.74,8.02,,,,
42,07/26/22 04:05:00 PM,7.74,8.02,,,,
43,07/26/22 04:10:00 PM,7.73,8.02,,,,
44,07/26/22 04:15:00 PM,7.73,8.02,,,,
45,07/26/22 04:20:00 PM,7.73,8.02,,,,
46,07/26/22 04:25:00 PM,7.73,8.00,,,,
47,07/26/22 04:30:00 PM,7.71,8.00,,,,
48,07/26/22 04:35:00 PM,7.71,8.00,,,,
49,07/26/22 04:40:00 PM,7.69,8.00,,,,
50,07/26/22 04:45:00 PM,7.67,7.98,,,,
51,07/26/22 04:50:00 PM,7.66,7.96,,,,
52,07/26/22 04:55:00 PM,7.66,7.94,,,,
53,07/26/22 05:00:00 PM,7.65,7.90,,,,
54,07/26/22 05:05:00 PM,7.65,7.88,,,,
55,07/26/22 05:10:00 PM,7.65,7.88,,,,
56,07/26/22 05:15:00 PM,7.65,7.86,,,,
57,07/26/22 05:20:00 PM,7.64,7.86,,,,
58,07/26/22 05:25:00 PM,7.63,7.86,,,,
59,07/26/22 05:30:00 PM,7.63,7.86,,,,
60,07/26/22 05:35:00 PM,7.63,7.86,,,,
61,07/26/22 05:40:00 PM,7.62,7.84,,,,
62,07/26/22 05:45:00 PM,7.62,7.82,,,,
63,07/26/22 05:50:00 PM,7.62,7.82,,,,
64,07/26/22 05:55:00 PM,7.62,7.80,,,,
65,07/26/22 06:00:00 PM,7.62,7.78,,,,
66,07/26/22 06:05:00 PM,7.62,7.78,,,,
67,07/26/22 06:10:00 PM,7.61,7.76,,,,
68,07/26/22 06:15:00 PM,7.62,7.76,,,,
69,07/26/22 06:20:00 PM,7.60,7.74,,,,
70,07/26/22 06:25:00 PM,7.61,7.72,,,,
71,07/26/22 06:30:00 PM,7.61,7.70,,,,
72,07/26/22 06:35:00 PM,7.61,7.68,,,,
73,07/26/22 06:40:00 PM,7.61,7.66,,,,
74,07/26/22 06:45:00 PM,7.61,7.64,,,,
75,07/26/22 06:50:00 PM,7.62,7.64,,,,
76,07/26/22 06:55:00 PM,7.62,7.62,,,,
77,07/26/22 07:00:00 PM,7.62,7.60,,,,
78,07/26/22 07:05:00 PM,7.63,7.58,,,,
79,07/26/22 07:10:00 PM,7.64,7.56,,,,
80,07/26/22 07:15:00 PM,7.64,7.54,,,,
81,07/26/22 07:20:00 PM,7.65,7.52,,,,
82,07/26/22 07:25:00 PM,7.65,7.50,,,,
83,07/26/22 07:30:00 PM,7.66,7.48,,,,
84,07/26/22 07:35:00 PM,7.66,7.46,,,,
85,07/26/22 07:40:00 PM,7.66,7.46,,,,
86,07/26/22 07:45:00 PM,7.67,7.44,,,,
87,07/26/22 07:50:00 PM,7.67,7.42,,,,
88,07/26/22 07:55:00 PM,7.68,7.40,,,,
89,07/26/22 08:00:00 PM,7.68,7.38,,,,
90,07/26/22 08:05:00 PM,7.68,7.36,,,,
91,07/26/22 08:10:00 PM,7.69,7.34,,,,
92,07/26/22 08:15:00 PM,7.69,7.32,,,,
93,07/26/22 08:20:00 PM,7.69,7.30,,,,
94,07/26/22 08:25:00 PM,7.68,7.28,,,,
95,07/26/22 08:30:00 PM,7.69,7.26,,,,
96,07/26/22 08:35:00 PM,7.69,7.22,,,,
97,07/26/22 08:40:00 PM,7.69,7.20,,,,
98,07/26/22 08:45:00 PM,7.68,7.18,,,,
99,07/26/22 08:50:00 PM,7.69,7.18,,,,
100,07/26/22 08:55:00 PM,7.69,7.16,,,,
101,07/26/22 09:00:00 PM,7.69,7.14,,,,
102,07/26/22 09:05:00 PM,7.69,7.12,,,,
103,07/26/22 09:10:00 PM,7.70,7.12,,,,
104,07/26/22 09:15:00 PM,7.71,7.10,,,,
105,07/26/22 09:20:00 PM,7.71,7.08,,,,
