"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)"
7/26/22 9:28,2,10.27
7/26/22 9:28,2,10.23
7/26/22 9:28,2,10.22
7/26/22 9:28,2,10.19
7/26/22 9:28,2,10.21
7/26/22 9:28,3.4,10.17
7/26/22 9:28,2,10.16
7/26/22 9:28,2,10.16
7/26/22 9:28,3.4,10.15
7/26/22 9:28,2,10.13
7/26/22 9:28,2,10.12
7/26/22 9:28,2,10.11
7/26/22 9:28,2,10.06
7/26/22 9:28,2,10.06
7/26/22 9:28,2,10.02
7/26/22 9:28,3.4,9.96
7/26/22 9:28,2,9.88
7/26/22 9:28,2,9.81
7/26/22 9:28,2,9.76
7/26/22 9:28,2,9.76
7/26/22 9:28,2,9.76
7/26/22 9:28,3.4,9.77
7/26/22 9:28,2,9.79
7/26/22 9:28,3.4,9.79
7/26/22 9:28,2,9.79
7/26/22 9:28,2,9.79
7/26/22 9:28,2,9.82
7/26/22 9:28,1.9,9.82
7/26/22 9:28,2,9.82
7/26/22 9:28,2.2,9.82
7/26/22 9:28,2,9.82
7/26/22 9:28,2,9.82
7/26/22 9:28,2.2,9.82
7/26/22 9:28,2,9.82
7/26/22 9:28,2,9.81
7/26/22 9:28,2,9.77
7/26/22 9:28,2,9.76
7/26/22 9:28,2,9.74
7/26/22 9:28,3.4,9.77
7/26/22 9:28,2,9.76
7/26/22 9:28,2,9.77
7/26/22 9:28,2,9.73
7/26/22 9:28,2.2,9.74
7/26/22 9:28,2.2,9.73
7/26/22 9:28,2,9.74
7/26/22 9:28,2,9.72
7/26/22 9:28,2.2,9.73
7/26/22 9:29,2,9.72
7/26/22 9:29,2,9.72
7/26/22 9:29,3.4,9.71
7/26/22 9:29,2,9.72
7/26/22 9:29,3.4,9.71
7/26/22 9:29,2,9.72
7/26/22 9:29,2,9.72
7/26/22 9:29,2,9.72
7/26/22 9:29,3.4,9.71
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.72
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.72
7/26/22 9:29,2,9.73
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.72
7/26/22 9:29,2,9.72
7/26/22 9:29,3.4,9.7
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.7
7/26/22 9:29,2,9.71
7/26/22 9:29,2,9.7
7/26/22 9:29,2,9.68
7/26/22 9:29,1.9,9.68
7/26/22 9:29,2,9.68
7/26/22 9:29,3.4,9.67
7/26/22 9:29,2,9.65
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.67
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.67
7/26/22 9:29,3.4,9.66
7/26/22 9:29,2,9.67
7/26/22 9:29,2.2,9.66
7/26/22 9:29,2,9.66
7/26/22 9:29,1.4,9.66
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.65
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.65
7/26/22 9:29,2,9.66
7/26/22 9:29,2,9.65
7/26/22 9:29,3.4,9.65
7/26/22 9:29,2,9.64
7/26/22 9:29,3.4,9.65
7/26/22 9:29,2.2,9.65
7/26/22 9:29,2,9.62
7/26/22 9:29,2.2,9.62
7/26/22 9:29,3.4,9.62
7/26/22 9:29,2,9.61
7/26/22 9:29,2,9.62
7/26/22 9:29,3.4,9.6
7/26/22 9:29,3.4,9.6
7/26/22 9:29,3.4,9.6
7/26/22 9:30,3.4,9.6
7/26/22 9:30,3.4,9.6
7/26/22 9:30,2,9.58
7/26/22 9:30,2,9.58
7/26/22 9:30,3.4,9.55
7/26/22 9:30,3.4,9.56
7/26/22 9:30,2,9.55
7/26/22 9:30,2,9.54
7/26/22 9:30,2,9.54
7/26/22 9:30,2,9.53
7/26/22 9:30,3.4,9.53
7/26/22 9:30,2,9.51
7/26/22 9:30,2,9.5
7/26/22 9:30,2.2,9.48
7/26/22 9:30,2,9.48
7/26/22 9:30,1.6,9.48
7/26/22 9:30,3.4,9.45
7/26/22 9:30,2,9.44
7/26/22 9:30,2,9.44
7/26/22 9:30,2,9.44
7/26/22 9:30,3.4,9.44
7/26/22 9:30,2,9.43
7/26/22 9:30,3.4,9.43
7/26/22 9:30,2,9.43
7/26/22 9:30,3.4,9.42
7/26/22 9:30,2,9.42
7/26/22 9:30,2,9.41
7/26/22 9:30,2,9.38
7/26/22 9:30,2,9.36
7/26/22 9:30,3.4,9.36
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.36
7/26/22 9:30,1.4,9.34
7/26/22 9:30,2,9.34
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.36
7/26/22 9:30,3.3,9.37
7/26/22 9:30,3.4,9.37
7/26/22 9:30,2,9.37
7/26/22 9:30,2,9.37
7/26/22 9:30,3.4,9.37
7/26/22 9:30,2,9.38
7/26/22 9:30,2,9.38
7/26/22 9:30,2,9.37
7/26/22 9:30,3.4,9.37
7/26/22 9:30,2.2,9.37
7/26/22 9:30,2,9.38
7/26/22 9:30,2,9.37
7/26/22 9:30,2,9.37
7/26/22 9:30,2,9.36
7/26/22 9:30,3.4,9.37
7/26/22 9:30,2,9.37
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.37
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.36
7/26/22 9:30,2,9.34
7/26/22 9:31,2,9.34
7/26/22 9:31,3.4,9.34
7/26/22 9:31,2,9.36
7/26/22 9:31,2,9.33
7/26/22 9:31,2,9.33
7/26/22 9:31,2,9.34
7/26/22 9:31,2,9.33
7/26/22 9:31,2,9.32
7/26/22 9:31,3.4,9.33
7/26/22 9:31,2,9.32
7/26/22 9:31,3.4,9.32
7/26/22 9:31,2,9.32
7/26/22 9:31,2,9.31
7/26/22 9:31,2,9.32
7/26/22 9:31,2,9.31
7/26/22 9:31,2,9.31
7/26/22 9:31,2,9.31
7/26/22 9:31,2,9.31
7/26/22 9:31,2,9.3
7/26/22 9:31,2,9.3
7/26/22 9:31,2,9.31
7/26/22 9:31,2.2,9.31
7/26/22 9:31,3.4,9.28
7/26/22 9:31,3.4,9.28
7/26/22 9:31,2,9.3
7/26/22 9:31,3.4,9.28
7/26/22 9:31,2,9.28
7/26/22 9:31,2,9.28
7/26/22 9:31,2,9.28
7/26/22 9:31,2,9.28
7/26/22 9:31,3.4,9.28
7/26/22 9:31,2,9.28
7/26/22 9:31,2,9.27
7/26/22 9:31,2,9.28
7/26/22 9:31,3.4,9.28
7/26/22 9:31,2,9.27
7/26/22 9:31,2,9.27
7/26/22 9:31,2.2,9.27
7/26/22 9:31,2,9.27
7/26/22 9:31,2,9.26
7/26/22 9:31,2,9.26
7/26/22 9:31,2,9.26
7/26/22 9:31,2,9.26
7/26/22 9:31,2,9.25
7/26/22 9:31,2,9.25
7/26/22 9:31,3.4,9.25
7/26/22 9:31,2,9.25
7/26/22 9:31,2,9.25
7/26/22 9:31,3.4,9.25
7/26/22 9:31,2,9.25
7/26/22 9:31,2,9.24
7/26/22 9:31,3.3,9.24
7/26/22 9:31,2,9.24
7/26/22 9:31,2,9.24
7/26/22 9:31,2,9.22
7/26/22 9:31,2,9.22
7/26/22 9:31,2,9.22
7/26/22 9:31,2,9.22
7/26/22 9:31,2,9.22
7/26/22 9:31,3.4,9.21
7/26/22 9:32,3.4,9.21
7/26/22 9:32,3.7,9.21
7/26/22 9:32,2,9.21
7/26/22 9:32,3.4,9.2
7/26/22 9:32,2,9.2
7/26/22 9:32,2,9.21
7/26/22 9:32,2,9.2
7/26/22 9:32,2,9.2
7/26/22 9:32,2,9.2
7/26/22 9:32,2,9.2
7/26/22 9:32,3.4,9.19
7/26/22 9:32,2,9.19
7/26/22 9:32,2,9.19
7/26/22 9:32,2,9.19
7/26/22 9:32,2,9.19
7/26/22 9:32,2,9.17
7/26/22 9:32,3.4,9.17
7/26/22 9:32,2,9.17
7/26/22 9:32,2,9.17
7/26/22 9:32,2,9.17
7/26/22 9:32,2,9.17
7/26/22 9:32,2,9.16
7/26/22 9:32,2,9.16
7/26/22 9:32,2,9.16
7/26/22 9:32,2,9.15
7/26/22 9:32,2,9.15
7/26/22 9:32,3.4,9.15
7/26/22 9:32,1.9,9.14
7/26/22 9:32,2,9.13
7/26/22 9:32,2,9.13
7/26/22 9:32,2,9.13
7/26/22 9:32,2,9.13
7/26/22 9:32,2,9.13
7/26/22 9:32,2,9.13
7/26/22 9:32,2,9.13
7/26/22 9:32,2,9.11
7/26/22 9:32,2,9.11
7/26/22 9:32,2,9.11
7/26/22 9:32,1.4,9.13
7/26/22 9:32,2,9.11
7/26/22 9:32,2,9.1
7/26/22 9:32,2,9.09
7/26/22 9:32,3.4,9.1
7/26/22 9:32,3.4,9.09
7/26/22 9:32,3.4,9.08
7/26/22 9:32,2,9.09
7/26/22 9:32,2.2,9.09
7/26/22 9:32,2.2,9.09
7/26/22 9:32,2,9.08
7/26/22 9:32,2,9.07
7/26/22 9:32,2,9.05
7/26/22 9:32,2,9.05
7/26/22 9:32,2,9.07
7/26/22 9:32,3.4,9.04
7/26/22 9:32,3.4,9.04
7/26/22 9:32,2,9.04
7/26/22 9:32,2,9.04
7/26/22 9:32,2,9.04
7/26/22 9:32,2.2,9.04
7/26/22 9:32,2,9.04
7/26/22 9:33,3.4,9.03
7/26/22 9:33,2,9.03
7/26/22 9:33,3.4,9.03
7/26/22 9:33,3.4,9.03
7/26/22 9:33,2,9.03
7/26/22 9:33,2,9.01
7/26/22 9:33,2,9.02
7/26/22 9:33,2,9.02
7/26/22 9:33,2,9.02
7/26/22 9:33,2,9.01
7/26/22 9:33,2,8.99
7/26/22 9:33,2,9.01
7/26/22 9:33,2,8.99
7/26/22 9:33,3.4,8.98
7/26/22 9:33,2,8.98
7/26/22 9:33,2,8.97
7/26/22 9:33,1.4,8.97
7/26/22 9:33,2,8.97
7/26/22 9:33,2,8.96
7/26/22 9:33,2,8.94
7/26/22 9:33,2,8.94
7/26/22 9:33,2,8.94
7/26/22 9:33,2,8.93
7/26/22 9:33,2,8.93
7/26/22 9:33,1.9,8.94
7/26/22 9:33,3.4,8.94
7/26/22 9:33,3.4,8.94
7/26/22 9:33,3.4,8.94
7/26/22 9:33,2,8.93
7/26/22 9:33,3.4,8.93
7/26/22 9:33,3.4,8.93
7/26/22 9:33,3.4,8.93
7/26/22 9:33,2,8.93
7/26/22 9:33,2,8.93
7/26/22 9:33,2,8.93
7/26/22 9:33,2,8.93
7/26/22 9:33,2,8.93
7/26/22 9:33,2.2,8.93
7/26/22 9:33,2,8.92
7/26/22 9:33,3.4,8.93
7/26/22 9:33,3.4,8.92
7/26/22 9:33,3.3,8.92
7/26/22 9:33,1.9,8.91
7/26/22 9:33,2,8.92
7/26/22 9:33,3.4,8.92
7/26/22 9:33,3.4,8.91
7/26/22 9:33,2,8.91
7/26/22 9:33,3.4,8.91
7/26/22 9:33,2,8.9
7/26/22 9:33,2.2,8.9
7/26/22 9:33,2,8.91
7/26/22 9:33,2,8.91
7/26/22 9:33,2,8.9
7/26/22 9:33,2,8.9
7/26/22 9:33,2,8.9
7/26/22 9:33,2,8.91
7/26/22 9:33,2,8.9
7/26/22 9:33,2,8.9
7/26/22 9:33,2,8.88
7/26/22 9:33,2.2,8.88
7/26/22 9:34,2,8.87
7/26/22 9:34,2,8.87
7/26/22 9:34,2,8.87
7/26/22 9:34,2,8.86
7/26/22 9:34,2,8.86
7/26/22 9:34,2,8.86
7/26/22 9:34,2,8.87
7/26/22 9:34,2,8.87
7/26/22 9:34,2,8.86
7/26/22 9:34,2,8.86
7/26/22 9:34,2,8.86
7/26/22 9:34,2,8.85
7/26/22 9:34,2,8.86
7/26/22 9:34,2,8.84
7/26/22 9:34,2.2,8.85
7/26/22 9:34,1.9,8.85
7/26/22 9:34,3.7,8.85
7/26/22 9:34,2,8.85
7/26/22 9:34,2,8.84
7/26/22 9:34,2,8.84
7/26/22 9:34,2,8.84
7/26/22 9:34,2,8.82
7/26/22 9:34,3.3,8.84
7/26/22 9:34,3.4,8.81
7/26/22 9:34,3.4,8.82
7/26/22 9:34,2,8.82
7/26/22 9:34,2,8.81
7/26/22 9:34,3.4,8.81
7/26/22 9:34,2,8.81
7/26/22 9:34,2,8.82
7/26/22 9:34,2,8.81
7/26/22 9:34,2,8.8
7/26/22 9:34,3.4,8.81
7/26/22 9:34,2,8.81
7/26/22 9:34,2,8.8
7/26/22 9:34,2,8.8
7/26/22 9:34,2,8.8
7/26/22 9:34,2,8.79
7/26/22 9:34,2,8.8
7/26/22 9:34,2,8.8
7/26/22 9:34,2.2,8.8
7/26/22 9:34,2,8.8
7/26/22 9:34,2,8.79
7/26/22 9:34,2,8.79
7/26/22 9:34,3.4,8.8
7/26/22 9:34,2,8.79
7/26/22 9:34,2,8.79
7/26/22 9:34,3.4,8.79
7/26/22 9:34,2,8.79
7/26/22 9:34,2,8.77
7/26/22 9:34,2,8.77
7/26/22 9:34,2,8.77
7/26/22 9:34,2,8.76
7/26/22 9:34,2,8.76
7/26/22 9:34,2,8.76
7/26/22 9:34,2,8.76
7/26/22 9:34,1.9,8.76
7/26/22 9:34,2,8.76
7/26/22 9:34,2.2,8.74
7/26/22 9:34,2,8.74
7/26/22 9:35,2,8.75
7/26/22 9:35,2,8.75
7/26/22 9:35,2,8.73
7/26/22 9:35,2,8.73
7/26/22 9:35,3.4,8.73
7/26/22 9:35,2,8.73
7/26/22 9:35,2,8.73
7/26/22 9:35,3.4,8.73
7/26/22 9:35,3.4,8.73
